,order_id,score,error
220,236525837050454016,672.36,
821,236564781397987328,672.35,
1100,236799551772037120,672.34,
1713,236438630457430016,672.2,
457,236469501537312768,672.13,
1655,236419010115670016,672.05,
423,236802640197464064,672.04,
1600,236808182315892736,671.99,
1542,236959942154137600,671.96,
609,236751973047091200,671.94,
808,236510110931247104,671.92,
515,236916224277635072,671.81,
890,236531376190935040,671.78,
1618,236832061734281216,671.65,
1335,236485556854874112,671.61,
173,236858515201200128,671.45,
339,236723699885547520,671.41,
1142,236558473059909632,671.3,
1333,236277819717980160,671.2,
966,236845010309890048,671.19,
850,236424160775528448,670.94,
246,236423071724486656,670.93,
546,236971437457940480,670.88,
567,236524072213155840,670.84,
611,236829027583139840,670.79,
358,236456210928766976,670.78,
1276,236912777188884480,670.75,
58,236481672358924288,670.74,
495,236449918155755520,670.74,
253,236572603921739776,670.74,
1580,236278271394189312,670.72,
1010,236516264444956672,670.64,
297,236494120419876864,670.62,
1546,236460367970582528,670.47,
937,236553400166666240,670.42,
189,236446892045115392,670.36,
1665,236820593873805312,670.34,
1352,236935399444324352,670.27,
1518,236533613554319360,670.24,
112,236801065299222528,670.17,
682,236789190830342144,669.96,
1476,236786025586253824,669.85,
120,236845395070181376,669.8,
910,236510811543576576,669.76,
855,236800706728177664,669.66,
1677,236883413936115712,669.64,
1284,236465208079966208,669.61,
1278,236899857063235584,669.34,
409,236816596475592704,669.23,
931,236474309098881024,669.21,
983,236503171325235200,669.17,
563,236541150076874752,669.15,
33,236576136796594176,669.1,
1049,236438749391110144,669.06,
448,236671174352322560,668.96,
982,236572595768020992,668.85,
1218,236876462430904320,668.65,
1545,236874144977264640,668.59,
842,236543763665129472,668.54,
612,236539908005060608,668.53,
892,236892238638501888,668.51,
848,236921664751292416,668.33,
828,236517805897822208,668.32,
425,236618675570348032,668.27,
526,236491161900433408,668.2,
1045,236815364818223104,668.17,
1633,236451618597916672,668.16,
913,236891234824105984,668.12,
426,236431407278743552,668.08,
53,236551391963262976,668.04,
45,236572048302280704,668.01,
1274,236872970068844544,668.0,
1326,236906321307783168,667.94,
